Name  	Team  	G  	  	Rush  	Yds  	Y/G  	Avg  	TD  	 	Rec  	Yds  	Y/G  	Avg  	Lng  	YAC  	1stD  	TD  	 	Fum  	FumL  	 
 Michael Turner 	SDG 	5 	  	27  	201  	40.2  	7.4  	1  	 	2  	14  	2.8  	7.0  	12  	10.5  	1  	0  	 	1  	1  	 
 Tatum Bell 	DET 	5 	  	44  	182  	36.4  	4.1  	1  	 	14  	63  	12.6  	4.5  	15  	5.0  	2  	0  	 	1  	1  	 
 Maurice Jones-Drew 	JAC 	4 	  	42  	182  	45.5  	4.3  	1  	 	9  	86  	21.5  	9.6  	20  	7.6  	5  	0  	 	2  	2  	 
 Brian Leonard 	STL 	5 	  	38  	181  	36.2  	4.8  	0  	 	12  	75  	15.0  	6.3  	16  	5.8  	4  	0  	 	0  	0  	 
 Ron Dayne 	HOU 	4 	  	62  	179  	44.8  	2.9  	1  	 	4  	27  	6.8  	6.8  	10  	6.5  	0  	0  	 	0  	0  	 
 Rudi Johnson 	CIN 	3 	  	58  	177  	59.0  	3.1  	0  	 	8  	92  	30.7  	11.5  	33  	11.8  	3  	1  	 	2  	2  	 
 Michael Pittman 	TAM 	5 	  	35  	169  	33.8  	4.8  	0  	 	11  	94  	18.8  	8.5  	16  	7.1  	5  	0  	 	0  	0  	 
 DeAngelo Williams 	CAR 	5 	  	43  	168  	33.6  	3.9  	0  	 	8  	70  	14.0  	8.8  	24  	11.6  	2  	1  	 	1  	1  	 
 DeShawn Wynn 	GNB 	5 	  	36  	165  	33.0  	4.6  	3  	 	9  	73  	14.6  	8.1  	18  	10.4  	4  	0  	 	0  	0  	 
 Correll Buckhalter 	PHI 	4 	  	29  	154  	38.5  	5.3  	1  	 	5  	38  	9.5  	7.6  	14  	6.6  	2  	0  	 	0  	0  	 
 Ahman Green 	HOU 	3 	  	35  	149  	49.7  	4.3  	1  	 	6  	34  	11.3  	5.7  	12  	6.5  	0  	0  	 	0  	0  	 
 Earnest Graham 	TAM 	5 	  	36  	147  	29.4  	4.1  	3  	 	4  	35  	7.0  	8.8  	13  	8.8  	1  	0  	 	1  	1  	 
 Jerious Norwood 	ATL 	5 	  	35  	147  	29.4  	4.2  	0  	 	10  	91  	18.2  	9.1  	15  	10.2  	4  	0  	 	0  	0  	 
 Reggie Bush 	NOR 	4 	  	50  	147  	36.8  	2.9  	2  	 	25  	122  	30.5  	4.9  	12  	4.8  	6  	0  	 	2  	0  	 
 Selvin Young 	DEN 	5 	  	16  	138  	27.6  	8.6  	0  	 	9  	77  	15.4  	8.6  	20  	10.1  	4  	0  	 	1  	1  	 
 Brandon Jacobs 	NYG 	2 	  	26  	126  	63.0  	4.8  	1  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	1  	1  	 
 Kenny Watson 	CIN 	4 	  	22  	115  	28.8  	5.2  	1  	 	4  	10  	2.5  	2.5  	6  	7.5  	0  	0  	 	0  	0  	 
 Ladell Betts 	WAS 	4 	  	38  	104  	26.0  	2.7  	0  	 	6  	63  	15.8  	10.5  	28  	12.7  	3  	0  	 	0  	0  	 
 Jason Wright 	CLE 	5 	  	19  	102  	20.4  	5.4  	0  	 	6  	51  	10.2  	8.5  	21  	8.2  	3  	0  	 	0  	0  	 
 Brandon Jackson 	GNB 	3 	  	38  	97  	32.3  	2.6  	1  	 	11  	81  	27.0  	7.4  	16  	8.2  	3  	0  	 	0  	0  	 
 Deuce McAllister 	NOR 	3 	  	24  	92  	30.7  	3.8  	0  	 	4  	15  	5.0  	3.8  	7  	4.0  	0  	0  	 	1  	1  	 
 Kevin Jones 	DET 	3 	  	24  	91  	30.3  	3.8  	2  	 	5  	39  	13.0  	7.8  	16  	7.8  	1  	0  	 	1  	0  	 
 Adrian Peterson 	CHI 	5 	  	20  	84  	16.8  	4.2  	0  	 	10  	91  	18.2  	9.1  	30  	10.1  	4  	0  	 	2  	1  	 
 Mewelde Moore 	MIN 	2 	  	10  	71  	35.5  	7.1  	0  	 	6  	48  	24.0  	8.0  	20  	6.7  	1  	0  	 	0  	0  	 
 Musa Smith 	BAL 	5 	  	23  	60  	12.0  	2.6  	1  	 	10  	79  	15.8  	7.9  	17  	7.9  	2  	0  	 	1  	0  	 
 Chester Taylor 	MIN 	2 	  	11  	58  	29.0  	5.3  	0  	 	2  	14  	7.0  	7.0  	11  	4.5  	0  	0  	 	0  	0  	 
 Tyson Thompson 	DAL 	5 	  	13  	54  	10.8  	4.2  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Kevin Faulk 	NWE 	5 	  	10  	50  	10.0  	5.0  	0  	 	11  	102  	20.4  	9.3  	23  	8.3  	4  	0  	 	0  	0  	 
 Artose Pinner 	ATL 	4 	  	4  	49  	12.3  	12.3  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Michael Bennett 	KAN 	5 	  	18  	49  	9.8  	2.7  	0  	 	8  	41  	8.2  	5.1  	9  	6.4  	1  	0  	 	2  	1  	 
 Leon Washington 	NYJ 	4 	  	20  	46  	11.5  	2.3  	0  	 	4  	29  	7.3  	7.3  	16  	7.0  	1  	0  	 	0  	0  	 
 Vernand Morency 	GNB 	2 	  	10  	45  	22.5  	4.5  	0  	 	10  	81  	40.5  	8.1  	18  	8.9  	3  	0  	 	1  	0  	 
 Jesse Chatman 	MIA 	5 	  	13  	44  	8.8  	3.4  	0  	 	10  	63  	12.6  	6.3  	22  	3.5  	4  	0  	 	1  	1  	 
 Mike Sellers 	WAS 	4 	  	11  	40  	10.0  	3.6  	1  	 	6  	49  	12.3  	8.2  	24  	3.0  	3  	1  	 	1  	0  	 
 Michael Robinson 	SFO 	5 	  	4  	39  	7.8  	9.8  	0  	 	1  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Aaron Stecker 	NOR 	4 	  	9  	39  	9.8  	4.3  	0  	 	7  	31  	7.8  	4.4  	11  	5.4  	2  	0  	 	0  	0  	 
 Dwayne Wright 	BUF 	4 	  	7  	38  	9.5  	5.4  	0  	 	1  	4  	1.0  	4.0  	4  	11.0  	1  	0  	 	0  	0  	 
 Brian Calhoun 	DET 	4 	  	7  	35  	8.8  	5.0  	0  	 	5  	35  	8.8  	7.0  	11  	5.2  	1  	0  	 	0  	0  	 
 Samkon Gado 	HOU 	2 	  	14  	31  	15.5  	2.2  	1  	 	5  	33  	16.5  	6.6  	20  	9.0  	1  	0  	 	1  	0  	 
 Reuben Droughns 	NYG 	5 	  	11  	31  	6.2  	2.8  	2  	 	1  	4  	0.8  	4.0  	4  	3.0  	0  	0  	 	0  	0  	 
 Maurice Morris 	SEA 	3 	  	8  	28  	9.3  	3.5  	0  	 	2  	38  	12.7  	19.0  	34  	2.0  	1  	1  	 	0  	0  	 
 Kyle Eckel 	NWE 	2 	  	9  	27  	13.5  	3.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Ryan Grant 	GNB 	4 	  	6  	27  	6.8  	4.5  	0  	 	5  	26  	6.5  	5.2  	21  	8.4  	2  	0  	 	0  	0  	 
 Cecil Sapp 	DEN 	5 	  	6  	25  	5.0  	4.2  	1  	 	4  	33  	6.6  	8.3  	16  	7.0  	2  	0  	 	0  	0  	 
 Clifton Dawson 	IND 	1 	  	8  	24  	24.0  	3.0  	0  	 	1  	9  	9.0  	9.0  	9  	6.0  	1  	0  	 	0  	0  	 
 Greg Jones 	JAC 	4 	  	9  	24  	6.0  	2.7  	1  	 	2  	20  	5.0  	10.0  	11  	7.5  	1  	0  	 	0  	0  	 
 Marcel Shipp 	ARI 	5 	  	3  	23  	4.6  	7.7  	0  	 	1  	9  	1.8  	9.0  	9  	6.0  	0  	0  	 	0  	0  	 
 Travis Minor 	STL 	5 	  	8  	22  	4.4  	2.8  	0  	 	6  	44  	8.8  	7.3  	13  	7.0  	3  	0  	 	0  	0  	 
 J.J. Arrington 	ARI 	5 	  	8  	21  	4.2  	2.6  	0  	 	6  	58  	11.6  	9.7  	32  	11.0  	2  	0  	 	0  	0  	 
 Jameel Cook 	HOU 	5 	  	7  	21  	4.2  	3.0  	0  	 	8  	40  	8.0  	5.0  	9  	2.4  	2  	0  	 	0  	0  	 
 Heath Evans 	NWE 	5 	  	10  	20  	4.0  	2.0  	1  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Mack Strong 	SEA 	5 	  	4  	19  	3.8  	4.8  	0  	 	9  	72  	14.4  	8.0  	15  	6.0  	5  	0  	 	0  	0  	 
 Justin Griffith 	OAK 	4 	  	5  	18  	4.5  	3.6  	0  	 	7  	25  	6.3  	3.6  	9  	2.6  	1  	1  	 	0  	0  	 
 Brad Hoover 	CAR 	5 	  	3  	18  	3.6  	6.0  	0  	 	5  	34  	6.8  	6.8  	14  	6.0  	1  	0  	 	0  	0  	 
 Lawrence Vickers 	CLE 	5 	  	5  	18  	3.6  	3.6  	0  	 	5  	26  	5.2  	5.2  	11  	4.2  	4  	1  	 	0  	0  	 
 Thomas Tapeh 	PHI 	4 	  	4  	18  	4.5  	4.5  	0  	 	3  	22  	5.5  	7.3  	9  	3.7  	0  	0  	 	0  	0  	 
 Jeremi Johnson 	CIN 	4 	  	3  	18  	4.5  	6.0  	0  	 	2  	5  	1.3  	2.5  	4  	1.5  	0  	0  	 	0  	0  	 
 Leonard Weaver 	SEA 	5 	  	6  	17  	3.4  	2.8  	0  	 	7  	36  	7.2  	5.1  	10  	4.7  	2  	0  	 	0  	0  	 
 Lorenzo Neal 	SDG 	5 	  	7  	14  	2.8  	2.0  	0  	 	6  	17  	3.4  	2.8  	9  	3.3  	1  	1  	 	0  	0  	 
 Mike Karney 	NOR 	4 	  	5  	14  	3.5  	2.8  	2  	 	3  	14  	3.5  	4.7  	9  	6.0  	0  	0  	 	0  	0  	 
 Luke Lawton 	IND 	5 	  	5  	13  	2.6  	2.6  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Maurice Hicks 	SFO 	5 	  	5  	13  	2.6  	2.6  	0  	 	4  	28  	5.6  	7.0  	11  	5.5  	1  	0  	 	0  	0  	 
 Carey Davis 	PIT 	5 	  	6  	10  	2.0  	1.7  	0  	 	5  	13  	2.6  	2.6  	10  	2.8  	1  	0  	 	0  	0  	 
 Le'Ron McClain 	BAL 	5 	  	3  	8  	1.6  	2.7  	0  	 	5  	23  	4.6  	4.6  	9  	5.2  	0  	0  	 	1  	1  	 
 Tony Hunt 	PHI 	2 	  	6  	8  	4.0  	1.3  	1  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Garrett Wolfe 	CHI 	3 	  	4  	5  	1.7  	1.3  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Naufahu Tahi 	MIN 	4 	  	2  	5  	1.3  	2.5  	0  	 	1  	7  	1.8  	7.0  	7  	6.0  	0  	0  	 	0  	0  	 
 Reagan Mauia 	MIA 	5 	  	2  	5  	1.0  	2.5  	0  	 	1  	5  	1.0  	5.0  	5  	5.0  	0  	0  	 	0  	0  	 
 Jon Bradley 	DET 	5 	  	2  	5  	1.0  	2.5  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Zak Keasey 	SFO 	2 	  	2  	4  	2.0  	2.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 T.J. Duckett 	DET 	1 	  	3  	4  	4.0  	1.3  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Moran Norris 	SFO 	5 	  	2  	4  	0.8  	2.0  	0  	 	4  	25  	5.0  	6.3  	13  	4.5  	1  	0  	 	0  	0  	 
 Mike Bell 	DEN 	3 	  	5  	3  	1.0  	0.6  	0  	 	1  	7  	2.3  	7.0  	7  	4.0  	0  	0  	 	0  	0  	 
 Pierre Thomas 	NOR 	1 	  	1  	3  	3.0  	3.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Darren Sproles 	SDG 	5 	  	1  	2  	0.4  	2.0  	0  	 	1  	14  	2.8  	14.0  	14  	10.0  	1  	0  	 	0  	0  	 
 Dan Kreider 	PIT 	5 	  	1  	2  	0.4  	2.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Vonta Leach 	HOU 	5 	  	1  	1  	0.2  	1.0  	0  	 	10  	37  	7.4  	3.7  	9  	3.2  	2  	1  	 	1  	1  	 
 Ovie Mughelli 	ATL 	5 	  	1  	1  	0.2  	1.0  	0  	 	2  	8  	1.6  	4.0  	5  	2.0  	0  	0  	 	0  	0  	 
 Terrelle Smith 	ARI 	5 	  	0  	0  	0.0  	0.0  	0  	 	1  	5  	1.0  	5.0  	5  	1.0  	1  	0  	 	0  	0  	 
 Kolby Smith 	KAN 	5 	  	0  	0  	0.0  	0.0  	0  	 	2  	21  	4.2  	10.5  	11  	7.5  	2  	0  	 	0  	0  	 
 Ahmad Bradshaw 	NYG 	4 	  	0  	0  	0.0  	0.0  	0  	 	1  	11  	2.8  	11.0  	11  	6.0  	1  	0  	 	0  	0  	 
 Deon Anderson 	DAL 	5 	  	0  	0  	0.0  	0.0  	0  	 	4  	39  	7.8  	9.8  	17  	8.0  	2  	0  	 	0  	0  	 
 Tony Richardson 	MIN 	2 	  	0  	0  	0.0  	0.0  	0  	 	3  	19  	9.5  	6.3  	10  	6.7  	1  	0  	 	0  	0  	 
 Korey Hall 	GNB 	5 	  	0  	0  	0.0  	0.0  	0  	 	3  	22  	4.4  	7.3  	10  	5.7  	2  	0  	 	0  	0  	 
 Aveion Cason 	DET 	2 	  	0  	0  	0.0  	0.0  	0  	 	2  	5  	2.5  	2.5  	4  	7.0  	0  	0  	 	1  	0  	 
 Reno Mahe 	PHI 	3 	  	0  	0  	0.0  	0.0  	0  	 	1  	11  	3.7  	11.0  	11  	9.0  	1  	0  	 	0  	0  	 
 Madison Hedgecock 	STL 	1 	  	0  	0  	0.0  	0.0  	0  	 	3  	21  	4.2  	7.0  	9  	5.3  	0  	0  	 	0  	0  	 
 Justin Green 	BAL 	4 	  	0  	0  	0.0  	0.0  	0  	 	1  	6  	1.5  	6.0  	6  	5.0  	0  	0  	 	0  	0  	 
 Alvin Pearman 	SEA 	3 	  	0  	0  	0.0  	0.0  	0  	 	1  	1  	0.3  	1.0  	1  	3.0  	0  	0  	 	0  	0  	 
 B.J. Askew 	TAM 	5 	  	0  	0  	0.0  	0.0  	0  	 	3  	21  	4.2  	7.0  	17  	6.3  	1  	0  	 	0  	0  	 
 Jason McKie 	CHI 	5 	  	0  	0  	0.0  	0.0  	0  	 	4  	9  	1.8  	2.3  	6  	4.5  	1  	0  	 	0  	0  	 
 Ahmard Hall 	TEN 	4 	  	0  	0  	0.0  	0.0  	0  	 	3  	23  	5.8  	7.7  	11  	5.7  	1  	0  	 	0  	0  	 
 Oliver Hoyte 	DAL 	2 	  	0  	0  	0.0  	0.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Rock Cartwright 	WAS 	4 	  	2  	0  	0.0  	0.0  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Anthony Thomas 	BUF 	4 	  	3  	-1  	-0.3  	-0.3  	0  	 	3  	24  	6.0  	8.0  	8  	8.7  	0  	0  	 	0  	0  	
